Car_id,Date,Customer_Name,Gender,Annual_Income,Dealer_Name,Company,Model,Price,Dealer_No,Phone,Transmission_Auto,Transmission_Manual,Color_Black,Color_Pale_White,Color_Red,Body_Style_Hardtop,Body_Style_Hatchback,Body_Style_Passenger,Body_Style_Sedan,Body_Style_SUV,Engine_Double_Overhead_Camshaft,Engine_Overhead_Camshaft,Dealer_Region_Aurora,Dealer_Region_Austin,Dealer_Region_Greenville,Dealer_Region_Janesville,Dealer_Region_Middletown,Dealer_Region_Pasco,Dealer_Region_Scottsdale,Car_Age
C_CND_000001,2022-01-02,Geraldine,1,13500,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,26000,06457-3834,8264678,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2
C_CND_000002,2022-01-02,Gia,1,1480000,C & M Motors Inc,Dodge,Durango,19000,60504-7114,6848189,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2
C_CND_000003,2022-01-02,Gianna,1,1035000,Capitol KIA,Cadillac,Eldorado,31500,38701-8047,7298798,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
C_CND_000004,2022-01-02,Giselle,1,13500,Chrysler of Tri-Cities,Toyota,Celica,14000,99301-3882,6257557,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2
C_CND_000005,2022-01-02,Grace,1,1465000,Chrysler Plymouth,Acura,TL,24500,53546-9427,7081483,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
C_CND_000006,2022-01-02,Guadalupe,1,850000,Classic Chevy,Mitsubishi,Diamante,12000,85257-3102,7315216,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2
C_CND_000007,2022-01-02,Hailey,1,1600000,Clay Johnson Auto Sales,Toyota,Corolla,14000,78758-7841,7727879,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2
C_CND_000008,2022-01-02,Graham,1,13500,U-Haul CO,Mitsubishi,Galant,42000,78758-7841,6206512,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000009,2022-01-02,Naomi,1,815000,Rabun Used Car Sales,Chevrolet,Malibu,82000,85257-3102,7194857,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2
C_CND_000010,2022-01-02,Grayson,0,13500,Rabun Used Car Sales,Ford,Escort,15000,85257-3102,7836892,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2
C_CND_000011,2022-01-02,Gregory,1,13500,Race Car Help,Acura,RL,31000,78758-7841,7995489,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2
C_CND_000012,2022-01-02,Amar'E,1,13500,Race Car Help,Nissan,Pathfinder,46000,78758-7841,7288103,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000013,2022-01-02,Griffin,1,885000,Saab-Belle Dodge,Mercury,Grand Marquis,9000,60504-7114,6842408,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2
C_CND_000014,2022-01-02,Harrison,1,13500,Scrivener Performance Engineering,BMW,323i,15000,38701-8047,7558767,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
C_CND_000015,2022-01-02,Zainab,1,722000,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,26000,06457-3834,7677191,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2
C_CND_000016,2022-01-02,Zara,1,746000,C & M Motors Inc,Subaru,Forester,17000,60504-7114,8431908,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2
